Theoretical_m/z,Composition,Glycan_class,H,N,F,Sialic-acid_state,Adduct,Glycan_Chemistries
1611.5266,H4N3S1Na1,Hybrid,4,3,0,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
1616.5919,H4N3Sd1,Hybrid,4,3,0,Sa0 Sd1 Ga0 Gd0,[M+Na]+,SA
1618.5712,H4N3Gm1,Hybrid,4,3,0,all sialic acids methylamidated (Sm/Gm),[M+Na]+,Methylated
1622.5548,H6N3,Hybrid,6,3,0,n/a (no sialic acid),[M+Na]+,Neutral
1627.5215,H4N3G1Na1,Hybrid,4,3,0,underivatized + 1 extra Na (H→Na on free -COOH),[M+Na]+,Native Sialylated
1631.5916,H3N4F2,Complex bi-antennary,3,4,2,n/a (no sialic acid),[M+Na]+,Neutral
1632.5868,H4N3Gd1,Hybrid,4,3,0,Sa0 Sd0 Ga0 Gd1,[M+Na]+,SA
1647.5865,H4N4F1,Complex bi-antennary,4,4,1,n/a (no sialic acid),[M+Na]+,Neutral
1663.5814,H5N4,Complex bi-antennary,5,4,0,n/a (no sialic acid),[M+Na]+,Neutral
1688.613,H3N5F1,Bisected bi-antennary / Tri-antennary,3,5,1,n/a (no sialic acid),[M+Na]+,Neutral
